application_id,application_date,channel,region,employment_type,employment_tenure_months,monthly_income,requested_amount,term_months,existing_debt,monthly_debt_payment,debt_to_income,credit_history_months,delinquencies_12m,delinquencies_36m,revolving_utilization,inquiries_6m,open_accounts,bureau_score,savings_balance,current_account_balance,housing_status,purpose,prior_customer_months,income_verified,gender,age_band,default_12m
APP-0012664,2022-01-01,Mobile,Aegean,Public sector,64,63542.98,32439.18,36,35971.88,25824.41,0.42059,351,1,1,0.17648,1,9,656,100253.37,56428.0,Rent,Other,22,Verified,Female,60-74,0
APP-0012919,2022-01-01,Branch,Marmara,Public sector,122,29448.52,36733.29,36,66872.01,9808.59,0.36773,167,0,0,0.22334,2,6,699,16831.77,4010.43,Rent,Home improvement,21,Verified,Female,30-39,0
APP-0013426,2022-01-01,Web,Central Anatolia,Salaried,3,39760.93,35446.89,48,53025.2,16922.84,0.44419,80,0,0,0.25558,1,2,702,137720.3,12170.36,Owner,Home improvement,29,Verified,Female,21-29,0
APP-0018046,2022-01-01,Mobile,Black Sea,Salaried,47,40309.3,54351.37,36,69384.73,3195.19,0.11672,107,0,0,0.05638,0,4,741,12865.03,6680.51,Rent,Vehicle,85,Verified,Female,40-49,0
APP-0022875,2022-01-01,Web,Aegean,Salaried,120,48211.93,72063.47,60,60388.87,23983.92,0.52238,113,1,1,0.67418,2,6,649,72068.73,22005.04,Rent,Other,45,Verified,Female,30-39,0
APP-0024283,2022-01-01,Web,Marmara,Salaried,110,34031.69,44253.36,60,21722.9,766.54,0.0442,97,0,0,0.17111,0,9,742,15285.77,60367.68,Owner,Vehicle,39,Verified,Male,21-29,0
APP-0025960,2022-01-01,Branch,Central Anatolia,Self-employed,102,76048.83,57980.9,60,115892.05,10974.38,0.15701,373,1,2,0.76037,0,6,643,8720.77,30741.15,Rent,Debt consolidation,6,Verified,Female,50-59,0
APP-0026358,2022-01-01,Web,Mediterranean,Salaried,78,30530.23,29595.27,24,23800.88,1792.22,0.09909,260,0,0,0.0294,0,6,729,22436.67,12959.9,Mortgage,Vehicle,25,Verified,Female,40-49,0
APP-0027236,2022-01-01,Mobile,Aegean,Public sector,33,12000.0,44213.82,60,17937.53,3111.34,0.32069,133,0,2,0.3549,2,5,589,3614.49,7068.13,Mortgage,Home improvement,18,Verified,Male,40-49,0
APP-0027403,2022-01-01,Branch,Central Anatolia,Public sector,72,50696.78,44718.26,36,109010.37,2744.68,0.07864,150,0,0,0.28151,3,8,714,275182.96,1319.04,Owner,Other,76,Verified,Male,30-39,0
APP-0028944,2022-01-01,Web,Central Anatolia,Self-employed,141,19482.04,16659.64,18,16046.73,10466.81,0.58476,202,3,4,0.52115,4,3,604,2900.09,23006.47,Mortgage,Home improvement,59,Verified,Female,40-49,0
APP-0029725,2022-01-01,Mobile,Marmara,Public sector,66,52111.93,67104.13,12,227478.32,10228.21,0.30358,344,1,1,0.49062,2,9,676,58623.93,7062.53,Mortgage,Medical,20,Verified,Female,50-59,1
APP-0029783,2022-01-01,Partner,Black Sea,Contract,72,34620.68,65660.28,24,63482.83,13812.56,0.47799,256,0,0,0.23318,0,7,727,16299.88,34215.43,Mortgage,Vehicle,10,Verified,Male,40-49,0
APP-0030261,2022-01-01,Mobile,Aegean,Public sector,32,37432.51,35936.98,48,141608.83,19768.41,0.54811,87,1,1,0.28304,3,5,686,6281.77,9618.17,Owner,Education,11,Verified,Female,30-39,0
APP-0034440,2022-01-01,Partner,Central Anatolia,Salaried,122,46866.61,13015.84,12,18800.81,9974.3,0.23597,213,0,1,0.13652,0,2,757,76581.99,85481.06,Rent,Home improvement,68,Verified,Male,40-49,0
APP-0036132,2022-01-01,Mobile,Marmara,Salaried,80,57811.29,41640.67,48,201061.55,3274.47,0.07165,159,0,0,0.24048,1,6,676,31708.02,22643.7,Mortgage,Debt consolidation,7,Verified,Male,30-39,0
APP-0036784,2022-01-01,Branch,Marmara,Salaried,74,32618.65,13843.92,36,9251.72,5300.75,0.1743,219,1,1,0.51406,1,5,715,28966.62,62449.13,Family,Debt consolidation,42,Verified,Male,60-74,0
APP-0037171,2022-01-01,Branch,Black Sea,Salaried,23,54051.77,50270.51,36,44986.8,17744.68,0.35413,232,1,1,0.14277,0,3,667,5822.46,49307.05,Rent,Debt consolidation,84,Unverified,Female,40-49,0
APP-0039373,2022-01-01,Branch,Black Sea,Self-employed,68,42687.4,186553.56,60,80860.61,11214.68,0.33555,248,1,2,0.29972,0,10,692,23031.29,9543.92,Owner,Other,67,Verified,Female,40-49,0
APP-0040047,2022-01-01,Web,Central Anatolia,Salaried,46,37610.78,21040.68,48,48199.6,6794.27,0.1923,69,0,0,0.48403,2,5,643,35013.97,4674.81,Mortgage,Home improvement,39,Verified,Male,30-39,0
APP-0040279,2022-01-01,Web,Aegean,Salaried,175,131339.85,98954.66,12,404480.4,29632.15,0.2884,331,0,1,0.88746,2,7,589,110004.36,65223.14,Owner,Other,13,Unverified,Female,40-49,0
APP-0040897,2022-01-01,Web,Black Sea,Self-employed,75,29496.58,70162.74,36,160089.8,6113.55,0.27334,369,0,0,0.50767,0,3,695,41367.87,7719.81,Owner,Education,102,Verified,Male,50-59,0
APP-0041590,2022-01-01,Partner,Marmara,Public sector,41,12000.0,14780.57,60,66701.04,2610.96,0.23811,223,2,3,0.34801,0,4,666,22721.6,2419.34,Mortgage,Home improvement,48,Verified,Male,40-49,1
APP-0045548,2022-01-01,Mobile,Mediterranean,Salaried,97,42340.18,70389.47,12,161509.85,3637.31,0.22445,138,0,0,0.43313,0,3,698,7728.2,1468.6,Mortgage,Vehicle,53,Verified,Female,30-39,0
APP-0047040,2022-01-01,Web,Mediterranean,Public sector,159,12000.0,20790.87,36,47054.88,4803.49,0.44842,66,1,1,0.37016,3,6,667,10595.34,1649.22,Owner,Debt consolidation,51,Unverified,Female,21-29,0
APP-0047431,2022-01-01,Web,Black Sea,Retired,18,21663.77,18574.04,24,71879.42,118.55,0.0412,20,0,0,0.16192,1,5,665,4327.44,9056.24,Rent,Vehicle,18,Verified,Male,21-29,0
APP-0047935,2022-01-01,Web,Marmara,Salaried,52,45728.18,46713.83,48,168621.4,5289.03,0.13694,205,1,2,0.32897,1,6,654,7364.54,14645.24,Owner,Debt consolidation,58,Verified,Male,30-39,0
APP-0000392,2022-01-02,Branch,Central Anatolia,Salaried,65,53499.12,45817.88,60,252270.56,8145.67,0.16653,187,0,0,0.02258,0,4,767,20070.73,21786.47,Owner,Vehicle,34,Verified,Male,30-39,0
APP-0001317,2022-01-02,Web,Mediterranean,Salaried,216,19341.32,10000.0,24,112217.24,7695.44,0.41942,197,0,1,0.75682,1,5,640,16375.31,6340.58,Rent,Debt consolidation,74,Verified,Male,40-49,0
APP-0002918,2022-01-02,Mobile,Marmara,Public sector,46,53855.48,125914.59,18,55857.36,12324.0,0.35872,177,0,0,0.34629,1,8,663,7808.63,7243.75,Mortgage,Home improvement,47,Verified,Male,30-39,0
APP-0002992,2022-01-02,Mobile,Black Sea,Public sector,138,21721.36,17195.29,24,32101.25,8212.0,0.41105,439,0,2,0.37827,1,7,671,15318.41,2813.99,Rent,Home improvement,8,Verified,Male,50-59,0
APP-0006145,2022-01-02,Partner,Mediterranean,Salaried,68,39657.65,52973.96,24,10492.22,14618.61,0.42428,390,0,1,0.72892,1,4,656,96740.31,20813.5,Owner,Other,45,Verified,Male,50-59,1
APP-0008003,2022-01-02,Web,Aegean,Public sector,39,28770.71,10000.0,36,139624.05,2808.83,0.10728,330,0,0,0.43093,1,5,624,16067.58,27960.4,Rent,Debt consolidation,48,Verified,Male,40-49,0
APP-0010704,2022-01-02,Partner,Marmara,Self-employed,55,58841.98,27521.57,24,192189.57,9661.84,0.18369,173,0,0,0.61008,2,6,649,16605.95,85578.78,Rent,Debt consolidation,51,Verified,Female,40-49,0
APP-0014806,2022-01-02,Web,Marmara,Salaried,54,57582.42,30258.83,36,263992.84,6218.5,0.12259,47,0,1,0.2538,1,4,671,27725.29,15740.66,Mortgage,Vehicle,110,Verified,Female,21-29,0
APP-0016423,2022-01-02,Partner,Aegean,Self-employed,69,63664.93,38601.65,36,450908.75,16826.93,0.28115,373,0,1,0.48481,0,9,683,19834.55,18670.03,Mortgage,Other,24,Verified,Female,50-59,1
APP-0017103,2022-01-02,Partner,Marmara,Contract,50,12000.0,10000.0,36,10429.13,2652.02,0.24415,244,1,2,0.43856,3,6,637,1131.95,325.38,Family,Other,13,Verified,Female,30-39,0
APP-0018347,2022-01-02,Mobile,Aegean,Public sector,60,39521.34,10000.0,36,41772.28,17996.62,0.46239,168,0,1,0.13341,1,4,733,50834.36,9566.95,Rent,Education,7,Verified,Male,40-49,0
APP-0019044,2022-01-02,Web,Marmara,Self-employed,64,91397.65,88638.76,60,119911.78,38724.18,0.43985,351,0,0,0.2491,1,7,743,6345.45,27699.6,Rent,Education,66,Verified,Female,50-59,1
APP-0019258,2022-01-02,Web,Marmara,Retired,23,23670.21,21296.75,48,84301.03,5884.32,0.26734,180,0,0,0.58552,1,5,679,366699.93,3264.23,Rent,Education,24,Unverified,Male,30-39,0
APP-0019327,2022-01-02,Mobile,Marmara,Salaried,52,37404.72,54063.38,24,270839.78,3257.86,0.14732,252,0,1,0.53155,0,5,681,67585.71,6819.21,Mortgage,Home improvement,39,Verified,Male,50-59,0
APP-0019854,2022-01-02,Mobile,Mediterranean,Salaried,254,43244.96,13579.23,48,76554.54,7945.75,0.19028,239,0,0,0.69551,0,4,682,18332.66,15130.28,Rent,Other,31,Unverified,Female,30-39,0
APP-0025788,2022-01-02,Mobile,Marmara,Salaried,82,31626.14,61410.87,18,95784.24,17401.06,0.65809,222,1,1,0.45851,0,4,661,30922.71,3964.3,Mortgage,Debt consolidation,98,Verified,Male,60-74,1
APP-0026053,2022-01-02,Mobile,Mediterranean,Public sector,131,61508.62,30634.7,60,301877.25,10295.84,0.17569,343,0,1,0.35395,1,9,723,35887.05,45695.41,Rent,Medical,60,Verified,Female,60-74,0
APP-0026413,2022-01-02,Mobile,Marmara,Salaried,20,59980.68,76259.74,36,200905.16,20571.5,0.37829,31,0,0,0.28325,1,7,739,20537.66,48107.78,Mortgage,Vehicle,13,Verified,Female,21-29,0
APP-0027986,2022-01-02,Partner,Mediterranean,Salaried,92,35811.64,52587.56,18,57740.82,16055.74,0.52992,345,0,1,0.20442,1,8,726,24040.67,64251.43,Rent,Vehicle,4,Verified,Female,60-74,0
APP-0031186,2022-01-02,Branch,Mediterranean,Contract,56,16518.72,48606.66,60,21765.0,4237.6,0.30558,177,0,0,0.58524,2,5,636,6384.87,30294.08,Mortgage,Vehicle,11,Unverified,Female,40-49,0
APP-0031635,2022-01-02,Mobile,Marmara,Contract,157,33791.88,14232.99,36,50800.41,12425.8,0.37942,188,0,0,0.20734,0,1,699,66207.64,7096.72,Owner,Vehicle,3,Verified,Male,50-59,0
APP-0032364,2022-01-02,Mobile,Black Sea,Salaried,79,38360.68,72812.11,18,3539.83,1332.64,0.14019,165,0,0,0.36993,2,5,711,6823.56,5989.18,Mortgage,Vehicle,34,Verified,Male,40-49,0
APP-0033066,2022-01-02,Mobile,Marmara,Salaried,103,12000.0,10000.0,36,31522.96,6018.93,0.52473,184,0,1,0.49598,1,5,657,27314.94,6792.97,Rent,Debt consolidation,23,Verified,Male,50-59,0
APP-0033410,2022-01-02,Web,Mediterranean,Salaried,75,23861.01,10000.0,24,104832.41,7862.5,0.34697,163,0,0,0.59124,0,4,685,1822.57,25833.31,Mortgage,Debt consolidation,139,Unverified,Female,50-59,1
APP-0034445,2022-01-02,Mobile,Marmara,Public sector,30,14824.63,10000.0,36,7510.43,862.73,0.07693,129,1,1,0.27699,2,7,653,4105.1,2755.84,Rent,Other,67,Verified,Female,30-39,0
APP-0034455,2022-01-02,Mobile,Aegean,Salaried,19,97986.81,71442.6,60,195261.88,34661.01,0.36588,48,2,3,0.55789,0,5,644,126245.84,50574.85,Owner,Home improvement,11,Verified,Male,21-29,0
APP-0034749,2022-01-02,Mobile,Marmara,Salaried,63,35888.74,82119.91,60,308034.51,12641.58,0.39038,75,1,1,0.21185,2,4,676,11648.78,9779.23,Family,Debt consolidation,35,Verified,Female,21-29,0
APP-0036154,2022-01-02,Branch,Black Sea,Salaried,112,30492.56,40903.25,36,77999.68,6487.16,0.25001,394,0,1,0.31628,1,5,698,19542.59,20834.68,Owner,Other,49,Verified,Female,50-59,0
APP-0038783,2022-01-02,Web,Marmara,Self-employed,39,36825.38,59994.0,60,141584.94,10239.63,0.30521,18,0,0,0.51095,1,4,680,15003.03,11567.87,Mortgage,Vehicle,16,Unverified,Male,21-29,0
APP-0040261,2022-01-02,Mobile,Aegean,Self-employed,140,58584.93,55795.94,48,301731.8,27975.2,0.49736,207,0,0,0.52275,1,4,630,84232.01,336215.61,Rent,Vehicle,10,Verified,Female,40-49,1
APP-0044076,2022-01-02,Mobile,Aegean,Salaried,70,17053.55,22518.55,36,50959.88,1992.8,0.15353,331,0,1,0.53243,2,4,618,3033.53,7216.75,Owner,Vehicle,158,Verified,Female,60-74,0
APP-0044696,2022-01-02,Web,Aegean,Public sector,138,31426.59,84346.8,18,65472.38,15806.1,0.65206,185,0,0,0.29787,0,7,694,26065.81,2710.29,Rent,Debt consolidation,36,Verified,Female,40-49,0
APP-0044887,2022-01-02,Mobile,Mediterranean,Salaried,88,95239.6,53197.51,36,335398.43,12116.92,0.14274,140,1,1,0.562,0,10,648,80006.71,22685.29,Mortgage,Home improvement,50,Verified,Male,40-49,0
APP-0044897,2022-01-02,Mobile,Black Sea,Retired,106,28842.91,36034.14,60,60328.16,1272.68,0.06495,87,1,2,0.88963,0,4,568,19047.54,25294.7,Rent,Debt consolidation,14,Verified,Male,21-29,1
APP-0046100,2022-01-02,Partner,Black Sea,Public sector,116,50150.52,31862.96,24,73940.5,10532.96,0.2365,242,0,2,0.28358,2,4,684,11790.7,30772.11,Rent,Debt consolidation,19,Verified,Male,40-49,0
APP-0047597,2022-01-02,Mobile,Central Anatolia,Public sector,61,98394.28,66547.7,12,219748.58,19059.97,0.25007,81,0,0,0.63349,1,9,624,94577.38,25563.9,Owner,Education,26,Verified,Female,30-39,1
APP-0047635,2022-01-02,Web,Aegean,Salaried,34,32762.28,12695.53,48,43327.08,6849.85,0.21715,178,1,1,0.42083,2,3,690,27952.72,4830.84,Owner,Home improvement,65,Verified,Female,30-39,0
APP-0000417,2022-01-03,Web,Marmara,Retired,94,34146.24,24248.07,36,85175.1,6417.44,0.20767,406,1,1,0.13394,0,2,719,16878.47,12036.41,Owner,Other,75,Verified,Female,50-59,1
APP-0002821,2022-01-03,Branch,Marmara,Salaried,102,69927.29,20445.31,36,226593.49,34193.96,0.49711,215,0,0,0.87542,1,6,677,54409.27,39882.91,Family,Education,56,Verified,Male,40-49,0
APP-0003594,2022-01-03,Branch,Marmara,Self-employed,73,49987.42,77119.15,60,132262.04,17215.76,0.37011,175,0,2,0.31947,0,4,645,31517.65,22148.02,Rent,Other,13,Verified,Male,40-49,0
APP-0004310,2022-01-03,Partner,Marmara,Salaried,125,48565.4,23917.02,24,203622.14,11186.85,0.25087,264,0,0,0.29235,0,13,668,14490.92,26539.86,Owner,Vehicle,63,Verified,Female,40-49,0
APP-0005452,2022-01-03,Web,Central Anatolia,Salaried,194,26133.56,137960.58,24,103885.5,9117.72,0.56885,138,0,0,0.31548,0,6,684,44845.75,6936.09,Family,Debt consolidation,4,Verified,Male,40-49,1
APP-0005454,2022-01-03,Branch,Central Anatolia,Salaried,52,40544.86,22782.37,36,137055.95,6563.4,0.17749,244,1,1,0.40357,1,3,651,144992.97,11132.85,Rent,Home improvement,23,Verified,Female,60-74,0
APP-0006542,2022-01-03,Partner,Central Anatolia,Public sector,55,81607.31,26221.66,48,280805.13,11125.39,0.14302,106,0,1,0.42516,2,9,664,22727.82,49859.08,Mortgage,Vehicle,60,Verified,Female,30-39,0
APP-0007767,2022-01-03,Web,Mediterranean,Self-employed,97,85536.5,144313.81,48,123992.72,11758.68,0.17262,160,0,0,0.52482,2,6,670,17999.41,30137.14,Rent,Home improvement,43,Verified,Female,50-59,1
APP-0009636,2022-01-03,Web,Aegean,Self-employed,78,59649.66,54441.55,48,134047.25,15206.75,0.27395,76,0,0,0.29627,2,7,717,91969.15,45220.16,Family,Debt consolidation,12,Verified,Female,30-39,0
APP-0010418,2022-01-03,Branch,Marmara,Salaried,87,42236.02,87458.81,24,265529.16,5637.75,0.21976,155,0,1,0.329,0,1,713,39548.87,42145.86,Mortgage,Home improvement,83,Verified,Male,60-74,0
APP-0011038,2022-01-03,Branch,Central Anatolia,Salaried,78,23792.63,39012.01,24,74892.47,4926.29,0.27537,159,0,2,0.30371,0,1,681,10602.39,10293.14,Mortgage,Debt consolidation,34,Verified,Male,30-39,0
APP-0014385,2022-01-03,Branch,Central Anatolia,Public sector,85,64892.27,122098.25,24,173476.18,5812.75,0.16797,111,0,0,0.35284,2,7,685,899321.33,4903.2,Mortgage,Other,75,Verified,Female,40-49,1
APP-0014571,2022-01-03,Web,Marmara,Public sector,99,48375.45,53143.47,36,72307.76,6704.76,0.16911,127,0,0,0.29002,0,2,661,24875.98,4064.67,Family,Vehicle,12,Verified,Female,30-39,0
APP-0014581,2022-01-03,Web,Mediterranean,Salaried,76,64839.28,271796.86,48,116315.11,14015.54,0.30349,272,1,1,0.55633,3,6,695,42349.55,30450.21,Owner,Other,25,Unverified,Female,40-49,0
APP-0016589,2022-01-03,Mobile,Black Sea,Self-employed,76,32748.07,21083.76,36,131713.06,6108.27,0.20441,129,0,0,0.24039,1,10,699,18249.81,10238.26,Rent,Education,13,Verified,Female,30-39,0
APP-0016702,2022-01-03,Mobile,Marmara,Self-employed,47,21450.0,40825.39,18,45212.54,1998.95,0.19893,204,1,1,0.26979,0,2,763,19450.58,9823.08,Rent,Vehicle,34,Verified,Male,40-49,0
APP-0017431,2022-01-03,Mobile,Marmara,Retired,28,25850.91,44635.23,48,73208.35,4336.22,0.20371,51,0,1,0.298,0,4,694,77136.17,75527.26,Mortgage,Debt consolidation,25,Verified,Female,30-39,1
APP-0017888,2022-01-03,Mobile,Marmara,Salaried,36,75571.64,48462.56,24,204257.68,20926.87,0.30363,37,0,1,0.3231,4,6,642,24891.09,54814.81,Rent,Other,27,Verified,Male,21-29,0
APP-0020399,2022-01-03,Web,Central Anatolia,Salaried,52,30466.76,10765.8,36,33123.39,3804.36,0.13468,118,0,1,0.17563,1,3,713,28298.23,58076.02,Mortgage,Debt consolidation,50,Verified,Male,30-39,0
APP-0021772,2022-01-03,Branch,Aegean,Contract,102,20748.36,19761.88,60,34249.78,8072.25,0.40493,164,0,1,0.12904,2,4,662,4426.36,6614.49,Family,Medical,18,Verified,Female,40-49,0
APP-0022734,2022-01-03,Web,Aegean,Salaried,114,77558.08,54180.56,60,51057.64,20155.53,0.27152,340,0,1,0.4913,1,8,719,26623.93,11745.54,Rent,Vehicle,95,Verified,Male,40-49,0
APP-0028394,2022-01-03,Mobile,Central Anatolia,Contract,65,63382.31,184137.48,12,88346.38,26235.85,0.65603,131,0,0,0.17929,3,7,695,72576.39,13990.29,Rent,Home improvement,55,Unverified,Female,30-39,0
APP-0028759,2022-01-03,Web,Central Anatolia,Public sector,24,48451.1,119984.34,18,123104.27,2307.1,0.18519,161,0,0,0.63018,1,5,654,26180.68,84786.21,Rent,Other,79,Unverified,Female,30-39,0
APP-0030145,2022-01-03,Branch,Central Anatolia,Self-employed,146,50153.43,41820.94,36,80862.64,12257.64,0.26757,181,0,0,0.55582,0,7,714,21514.76,16177.59,Rent,Other,84,Verified,Female,50-59,0
APP-0031741,2022-01-03,Partner,Mediterranean,Public sector,84,34905.84,20976.38,12,110130.36,6517.98,0.23681,246,0,0,0.14753,0,5,729,89023.95,5268.7,Owner,Vehicle,60,Verified,Male,50-59,0
APP-0032790,2022-01-03,Branch,Aegean,Public sector,83,39298.77,24548.08,24,20137.32,8885.76,0.25214,385,0,0,0.24713,4,3,683,17681.99,3399.91,Owner,Medical,11,Unverified,Male,60-74,0
APP-0034597,2022-01-03,Branch,Aegean,Public sector,23,48256.19,27287.79,36,46909.93,2430.24,0.06607,114,0,0,0.49273,1,4,674,14061.27,26234.42,Family,Other,28,Unverified,Male,30-39,0
APP-0034948,2022-01-03,Web,Central Anatolia,Public sector,58,46227.8,63762.72,48,152374.57,10555.1,0.25706,24,0,1,0.79984,2,6,585,84148.13,15807.79,Rent,Other,48,Verified,Male,21-29,0
APP-0036671,2022-01-03,Branch,Marmara,Retired,75,22807.57,22694.7,60,132634.19,2307.0,0.11773,228,1,1,0.2551,0,5,679,44346.78,16178.61,Mortgage,Debt consolidation,5,Verified,Male,40-49,0
APP-0041799,2022-01-03,Branch,Aegean,Salaried,59,20014.66,10000.0,36,39909.57,6821.78,0.35472,221,0,1,0.61469,0,5,674,2198.15,10621.08,Mortgage,Debt consolidation,27,Verified,Female,40-49,0
APP-0043296,2022-01-03,Web,Central Anatolia,Salaried,129,26843.12,13185.64,48,23796.36,4832.66,0.19027,118,1,1,0.56846,1,7,689,4730.29,10431.35,Mortgage,Debt consolidation,20,Verified,Male,30-39,0
APP-0043372,2022-01-03,Mobile,Aegean,Self-employed,91,61695.27,33385.82,24,103857.09,17277.7,0.3026,139,1,3,0.49094,1,4,641,15349.8,20696.23,Owner,Debt consolidation,23,Verified,Male,50-59,1
APP-0045084,2022-01-03,Mobile,Central Anatolia,Salaried,45,48717.5,34620.15,24,28715.22,3535.2,0.10217,92,0,0,0.60446,1,4,627,62437.21,14268.64,Owner,Vehicle,56,Verified,Female,40-49,1
APP-0000137,2022-01-04,Mobile,Marmara,Public sector,71,48375.56,49567.44,48,117958.64,12708.06,0.28404,218,0,0,0.26148,0,8,724,56624.28,9291.33,Owner,Debt consolidation,35,Verified,Male,40-49,0
APP-0000357,2022-01-04,Mobile,Aegean,Salaried,46,48052.01,147738.99,12,99447.85,7082.67,0.40361,230,0,0,0.69766,1,4,693,47189.41,71445.97,Owner,Home improvement,23,Verified,Female,40-49,0
APP-0004068,2022-01-04,Mobile,Marmara,Contract,110,37669.32,50521.12,36,174468.19,12323.39,0.3644,328,1,1,0.64803,1,3,710,18716.53,5660.52,Rent,Education,31,Verified,Female,50-59,0
APP-0004202,2022-01-04,Web,Marmara,Salaried,152,101531.03,169869.81,12,208388.13,63445.04,0.76431,84,0,0,0.26368,2,5,688,270483.37,17637.6,Mortgage,Home improvement,20,Verified,Male,50-59,0
APP-0006056,2022-01-04,Mobile,Mediterranean,Salaried,104,44664.31,49329.08,24,27058.71,7261.29,0.20859,75,1,1,0.07156,0,6,666,13669.25,23960.12,Rent,Home improvement,45,Verified,Female,21-29,0
APP-0006058,2022-01-04,Web,Central Anatolia,Public sector,47,63644.3,42550.27,48,379354.18,28865.97,0.46748,85,0,0,0.31456,1,6,743,156608.27,18834.9,Mortgage,Vehicle,39,Verified,Male,30-39,0
APP-0006149,2022-01-04,Web,Marmara,Salaried,240,39561.37,20635.99,48,93396.72,11979.5,0.31368,199,0,0,0.11123,1,8,717,17499.52,22315.8,Owner,Other,12,Verified,Male,50-59,1
APP-0006360,2022-01-04,Mobile,Black Sea,Salaried,51,38331.25,16700.1,36,45753.47,6801.98,0.18955,199,0,0,0.7827,0,5,689,50878.8,52298.78,Owner,Other,141,Verified,Female,40-49,0
APP-0007681,2022-01-04,Partner,Central Anatolia,Public sector,58,29021.83,22719.07,36,308617.02,4440.07,0.17474,48,0,0,0.63795,1,3,720,5192.69,12500.43,Rent,Debt consolidation,28,Verified,Female,21-29,0
APP-0008060,2022-01-04,Branch,Marmara,Salaried,85,79752.5,33720.95,12,279716.13,25112.59,0.35012,278,1,2,0.16235,2,6,751,104953.88,19289.94,Mortgage,Vehicle,59,Verified,Male,50-59,0
APP-0008370,2022-01-04,Branch,Central Anatolia,Salaried,85,54611.44,60123.31,18,29523.87,26662.49,0.54938,198,0,1,0.33191,1,5,687,69328.13,17830.72,Rent,Vehicle,49,Verified,Female,50-59,0
APP-0009138,2022-01-04,Web,Central Anatolia,Salaried,121,24423.38,24092.37,60,17031.42,14424.12,0.60703,134,0,1,0.47669,1,2,674,26067.91,20163.1,Rent,Debt consolidation,23,Verified,Male,40-49,0
APP-0010263,2022-01-04,Web,Marmara,Salaried,156,40046.95,35342.7,24,75421.24,8998.67,0.26148,221,0,0,0.29279,0,3,707,71862.83,2426.02,Rent,Debt consolidation,15,Verified,Female,40-49,0
APP-0013264,2022-01-04,Mobile,Aegean,Public sector,52,45308.51,37240.74,36,223293.48,7700.32,0.19278,170,0,1,0.39854,0,9,664,3665.42,27534.24,Family,Home improvement,40,Verified,Male,40-49,0
APP-0014914,2022-01-04,Web,Aegean,Self-employed,60,72185.69,24843.46,36,33380.89,1111.16,0.02495,19,0,0,0.28386,0,2,646,255409.23,15146.65,Rent,Debt consolidation,50,Verified,Female,21-29,0
APP-0021240,2022-01-04,Branch,Central Anatolia,Self-employed,72,79407.1,125454.38,24,390281.0,32328.43,0.47295,208,0,2,0.52301,3,6,656,10536.9,141245.78,Rent,Vehicle,52,Verified,Male,40-49,1
