application_id,application_date,channel,region,employment_type,employment_tenure_months,monthly_income,requested_amount,term_months,existing_debt,monthly_debt_payment,debt_to_income,credit_history_months,delinquencies_12m,delinquencies_36m,revolving_utilization,inquiries_6m,open_accounts,bureau_score,savings_balance,current_account_balance,housing_status,purpose,prior_customer_months,income_verified,gender,age_band,default_12m,sample_split,predicted_pd,credit_score,risk_band,recommendation,lgd_assumption,ead_assumption,expected_loss,human_review_required
APP-0025467,2025-01-01,Mobile,Central Anatolia,Salaried,57,23140.64,28144.37,60,57160.8,6982.6,0.32202,202,0,0,0.13065,2,3,742,62679.38,4065.47,Mortgage,Other,58,Verified,Female,40-49,0,out_of_time,0.047596837453033024,708,B,APPROVE_RECOMMENDATION,0.45,28144.37,602.8123518486086,False
APP-0027207,2025-01-01,Partner,Central Anatolia,Public sector,56,20940.66,46247.42,24,64906.27,5427.95,0.35123,170,0,1,0.50703,1,4,667,21144.98,3156.36,Mortgage,Debt consolidation,85,Verified,Female,30-39,0,out_of_time,0.17646568468395163,603,E,REFER,0.45,46247.42,3672.4871858248252,True
APP-0031093,2025-01-01,Web,Marmara,Public sector,139,28274.44,53746.0,24,98398.47,9765.85,0.4246,201,0,0,0.43387,1,4,646,90046.4,8668.11,Owner,Vehicle,50,Verified,Male,40-49,0,out_of_time,0.11569558415248267,638,D,REFER,0.45,53746.0,2798.1786896367003,True
APP-0033646,2025-01-01,Mobile,Aegean,Salaried,70,29709.49,33958.11,48,119731.09,5661.14,0.21436,134,0,0,0.51577,2,4,634,35530.65,15286.92,Rent,Vehicle,8,Unverified,Male,30-39,0,out_of_time,0.19705418431690866,593,E,REFER,0.45,33958.11,3011.2144501472367,True
APP-0035330,2025-01-01,Mobile,Marmara,Salaried,76,25885.23,13539.36,18,130981.87,6207.82,0.26888,220,0,0,0.05389,2,1,668,29171.72,14341.75,Family,Debt consolidation,87,Unverified,Female,30-39,0,out_of_time,0.10016853413133686,650,D,REFER,0.45,13539.36,610.2980299244057,True
APP-0036180,2025-01-01,Partner,Marmara,Salaried,113,43547.46,76652.68,36,135769.67,6634.05,0.20124,457,1,2,0.40608,0,6,690,30730.46,47144.85,Owner,Home improvement,77,Verified,Female,60-74,0,out_of_time,0.07974179349250757,668,C,APPROVE_RECOMMENDATION,0.45,76652.68,2750.5899806432694,False
APP-0040513,2025-01-01,Mobile,Aegean,Salaried,67,76495.69,86740.59,60,272616.19,9985.67,0.14944,158,1,1,0.45633,2,6,689,29484.7,22744.24,Family,Debt consolidation,12,Verified,Female,40-49,0,out_of_time,0.18984137571093018,596,E,REFER,0.45,86740.59,7410.128821009988,True
APP-0042141,2025-01-01,Mobile,Central Anatolia,Salaried,156,53533.23,240815.51,24,117553.57,22098.38,0.60023,144,0,0,0.18876,1,7,751,76975.86,12112.89,Owner,Other,13,Verified,Female,30-39,0,out_of_time,0.06309951171010535,686,C,APPROVE_RECOMMENDATION,0.45,240815.51,6837.903491948997,False
APP-0043484,2025-01-01,Mobile,Central Anatolia,Public sector,166,32224.17,27279.88,48,32660.22,12272.62,0.39849,34,0,1,0.8224,1,7,639,8325.24,13098.34,Owner,Debt consolidation,36,Verified,Male,21-29,1,out_of_time,0.3212766800452433,545,F,DECLINE_RECOMMENDATION,0.45,27279.88,3943.9751752946845,True
APP-0043671,2025-01-01,Branch,Marmara,Retired,13,17722.16,14480.49,12,14727.67,3677.81,0.27562,61,0,0,0.25031,0,7,678,31722.81,4831.42,Mortgage,Medical,48,Verified,Female,30-39,0,out_of_time,0.10042778431517144,650,D,REFER,0.45,14480.49,654.4095869240986,True
APP-0045870,2025-01-01,Mobile,Mediterranean,Retired,40,22974.5,10000.0,36,71256.61,6525.71,0.29613,100,2,2,0.11488,0,7,711,3126.03,14795.98,Rent,Education,39,Unverified,Male,30-39,0,out_of_time,0.19467695324065767,594,E,REFER,0.45,10000.0,876.0462895829596,True
APP-0047107,2025-01-01,Mobile,Central Anatolia,Retired,107,19533.14,10000.0,12,19564.5,13830.9,0.75074,102,0,2,0.63962,1,5,621,12125.45,9460.36,Rent,Education,68,Verified,Female,50-59,0,out_of_time,0.43202310485177664,511,F,DECLINE_RECOMMENDATION,0.45,10000.0,1944.103971832995,True
APP-0001049,2025-01-02,Mobile,Central Anatolia,Salaried,70,20697.27,42618.42,48,97065.72,5864.27,0.32623,263,0,0,0.55511,1,3,691,25811.09,49126.01,Rent,Debt consolidation,26,Unverified,Male,40-49,0,out_of_time,0.13411573475863034,626,D,REFER,0.45,42618.42,2572.110320648358,True
APP-0001816,2025-01-02,Mobile,Aegean,Salaried,44,30046.1,23996.23,24,68030.46,4574.5,0.18553,184,1,1,0.51211,1,2,747,16627.96,27944.79,Rent,Vehicle,3,Verified,Female,50-59,0,out_of_time,0.0928363581491007,656,C,APPROVE_RECOMMENDATION,0.45,23996.23,1002.4751711286876,False
APP-0003271,2025-01-02,Web,Mediterranean,Salaried,49,22099.04,21793.98,36,145707.41,7047.8,0.34631,203,0,0,0.27043,2,6,730,45994.28,8660.42,Rent,Vehicle,14,Verified,Male,30-39,0,out_of_time,0.05767934802159846,693,B,APPROVE_RECOMMENDATION,0.45,21793.98,565.6781507380904,False
APP-0004482,2025-01-02,Mobile,Mediterranean,Salaried,52,40893.26,23610.1,24,298383.94,8487.99,0.23162,247,0,0,0.08981,1,7,725,17913.49,18179.78,Mortgage,Education,35,Verified,Male,40-49,0,out_of_time,0.032449608624852,736,B,APPROVE_RECOMMENDATION,0.45,23610.1,344.7623270671282,False
APP-0005539,2025-01-02,Web,Mediterranean,Public sector,98,48557.96,27396.07,24,94311.16,20736.6,0.45056,270,1,1,0.50407,2,6,676,11995.84,29070.78,Mortgage,Education,84,Verified,Female,40-49,0,out_of_time,0.17496504670897378,603,E,REFER,0.45,27396.07,2157.009600236542,True
APP-0005546,2025-01-02,Partner,Central Anatolia,Salaried,152,43562.21,22259.31,36,81019.63,18634.02,0.44195,39,0,1,0.5224,3,9,640,32969.59,13346.54,Mortgage,Debt consolidation,33,Verified,Female,40-49,1,out_of_time,0.36308749384521016,532,F,DECLINE_RECOMMENDATION,0.45,22259.31,3636.9346871806315,True
APP-0005935,2025-01-02,Branch,Marmara,Salaried,74,35330.36,44689.58,36,100230.95,12560.19,0.39064,212,0,0,0.5349,2,7,700,45978.93,23942.72,Rent,Debt consolidation,88,Verified,Female,50-59,1,out_of_time,0.12984250610888895,629,D,REFER,0.45,44689.58,2611.173178869157,True
APP-0007636,2025-01-02,Mobile,Central Anatolia,Salaried,17,20271.87,10000.0,36,40573.34,6447.3,0.33174,195,1,1,0.36889,0,2,697,4184.61,8311.56,Rent,Other,10,Verified,Female,30-39,0,out_of_time,0.12959967911190004,629,D,REFER,0.45,10000.0,583.1985560035502,True
APP-0008152,2025-01-02,Branch,Aegean,Public sector,76,51390.12,57486.73,24,126435.88,4715.38,0.13837,111,0,0,0.46945,2,2,632,64050.5,17408.22,Owner,Vehicle,40,Verified,Female,50-59,1,out_of_time,0.12743935878911244,630,D,REFER,0.45,57486.73,3296.732404537275,True
APP-0008226,2025-01-02,Mobile,Aegean,Salaried,26,25085.19,10000.0,48,44133.62,17033.64,0.68734,20,0,1,0.61848,2,7,637,19699.96,16167.64,Rent,Debt consolidation,70,Unverified,Female,21-29,0,out_of_time,0.5735731788629513,470,F,DECLINE_RECOMMENDATION,0.45,10000.0,2581.0793048832807,True
APP-0009637,2025-01-02,Mobile,Mediterranean,Self-employed,85,97026.47,63698.43,48,193714.77,44058.7,0.46777,330,0,1,0.37238,1,8,765,406264.72,8479.26,Rent,Education,51,Verified,Female,40-49,0,out_of_time,0.05667570005235931,694,B,APPROVE_RECOMMENDATION,0.45,63698.43,1624.5689006187927,False
APP-0010801,2025-01-02,Web,Marmara,Salaried,85,75622.61,86538.22,18,138795.52,18152.94,0.30362,153,1,2,0.49546,1,11,663,59405.91,19042.24,Family,Medical,33,Verified,Female,40-49,0,out_of_time,0.2654673259167733,565,F,DECLINE_RECOMMENDATION,0.45,86538.22,10337.881433848843,True
APP-0010905,2025-01-02,Web,Mediterranean,Salaried,74,67404.06,43005.37,48,73290.22,13775.37,0.21766,186,0,0,0.78502,2,5,614,64594.31,13005.95,Rent,Debt consolidation,42,Verified,Male,30-39,0,out_of_time,0.25153583386861655,570,F,DECLINE_RECOMMENDATION,0.45,43005.37,4867.826221700274,True
APP-0012094,2025-01-02,Web,Marmara,Salaried,78,42260.22,79634.88,60,191684.33,15428.65,0.39649,83,0,0,0.59458,1,7,672,10795.62,21248.02,Owner,Debt consolidation,55,Verified,Male,21-29,0,out_of_time,0.18837462052894602,597,E,REFER,0.45,79634.88,6750.535635390669,True
APP-0013588,2025-01-02,Mobile,Marmara,Self-employed,93,26601.65,36529.51,48,18789.65,3129.51,0.14625,440,1,1,0.28833,0,4,713,15499.15,7599.83,Owner,Debt consolidation,39,Verified,Male,50-59,0,out_of_time,0.05714956669141311,694,B,APPROVE_RECOMMENDATION,0.45,36529.51,939.4405505773391,False
APP-0014503,2025-01-02,Partner,Central Anatolia,Self-employed,183,30974.59,45788.49,36,154643.69,5958.0,0.23341,238,0,0,0.59216,1,5,740,8239.17,6824.01,Rent,Other,25,Verified,Female,40-49,0,out_of_time,0.056887043255874396,694,B,APPROVE_RECOMMENDATION,0.45,45788.49,1172.1473150630275,False
APP-0014515,2025-01-02,Mobile,Black Sea,Salaried,45,47981.58,16864.71,24,158207.31,16142.56,0.35108,195,0,0,0.37281,1,5,733,8555.9,11843.72,Owner,Vehicle,12,Verified,Female,40-49,0,out_of_time,0.06205476491730202,687,C,APPROVE_RECOMMENDATION,0.45,16864.71,470.94102650181264,False
APP-0014627,2025-01-02,Web,Black Sea,Public sector,35,44225.27,17040.12,24,17773.12,5126.26,0.13197,197,0,0,0.19949,1,1,681,35109.96,9955.76,Family,Vehicle,6,Verified,Female,30-39,0,out_of_time,0.04545126077386595,711,B,APPROVE_RECOMMENDATION,0.45,17040.12,348.5227219820859,False
APP-0015837,2025-01-02,Mobile,Aegean,Self-employed,67,55830.95,53393.78,48,131088.55,4996.83,0.10942,157,0,0,0.66526,0,8,650,8990.02,206787.11,Mortgage,Home improvement,58,Unverified,Female,30-39,0,out_of_time,0.1379114535144258,624,D,REFER,0.45,53393.78,3313.626213793265,True
APP-0016101,2025-01-02,Web,Marmara,Contract,41,32901.32,55419.22,48,168504.82,3856.19,0.1523,42,0,0,0.17112,1,6,645,28252.78,16537.92,Family,Vehicle,140,Unverified,Female,21-29,0,out_of_time,0.15603327928096053,613,E,REFER,0.45,55419.22,3891.259184306847,True
APP-0016348,2025-01-02,Mobile,Marmara,Salaried,90,33134.11,45473.14,24,117171.26,8611.24,0.31707,166,0,0,0.36588,0,6,726,24122.91,3234.81,Family,Debt consolidation,56,Verified,Male,30-39,1,out_of_time,0.0693649144249818,679,C,APPROVE_RECOMMENDATION,0.45,45473.14,1419.4082091308476,False
APP-0016425,2025-01-02,Partner,Mediterranean,Public sector,91,22375.43,31334.36,36,77806.27,1156.79,0.0906,238,0,0,0.43329,2,2,707,7437.95,2326.7,Rent,Vehicle,25,Verified,Male,40-49,0,out_of_time,0.05082415608546435,703,B,APPROVE_RECOMMENDATION,0.45,31334.36,716.6440815651589,False
APP-0017603,2025-01-02,Web,Marmara,Public sector,80,37689.81,46084.33,60,68737.38,17045.69,0.47264,143,1,1,0.29024,1,4,737,9313.47,24463.79,Owner,Debt consolidation,22,Verified,Male,50-59,0,out_of_time,0.13679554981748931,624,D,REFER,0.45,46084.33,2836.859067144278,True
APP-0018245,2025-01-02,Mobile,Marmara,Salaried,156,12000.0,10000.0,12,16722.57,1288.25,0.1768,92,1,3,0.67606,1,4,625,26552.89,3130.76,Rent,Vehicle,56,Verified,Male,21-29,1,out_of_time,0.31763526467758557,547,F,DECLINE_RECOMMENDATION,0.45,10000.0,1429.3586910491351,True
APP-0018336,2025-01-02,Web,Central Anatolia,Salaried,56,19699.67,57749.08,24,63298.85,7125.15,0.48383,148,1,2,0.33998,2,3,676,61708.74,14849.41,Rent,Debt consolidation,25,Unverified,Male,40-49,0,out_of_time,0.34416889300702047,538,F,DECLINE_RECOMMENDATION,0.45,57749.08,8943.946621098241,True
APP-0021429,2025-01-02,Partner,Marmara,Contract,94,30263.15,27084.31,48,148880.83,5728.5,0.20793,218,0,0,0.39305,0,6,720,19533.16,7733.56,Rent,Other,27,Unverified,Male,60-74,0,out_of_time,0.0981915206245344,651,C,APPROVE_RECOMMENDATION,0.45,27084.31,1196.7523127848276,False
APP-0021771,2025-01-02,Branch,Mediterranean,Public sector,52,26159.63,52156.11,60,139540.22,2541.5,0.13038,174,2,2,0.26227,0,1,643,6472.86,24614.05,Family,Vehicle,38,Verified,Female,30-39,1,out_of_time,0.17723382749741023,602,E,REFER,0.45,52156.11,4159.722151204179,True
APP-0024274,2025-01-02,Web,Marmara,Salaried,120,15198.41,13688.5,60,155430.87,1429.36,0.10906,167,1,2,0.62909,0,1,624,5016.51,8722.88,Mortgage,Home improvement,43,Verified,Male,30-39,0,out_of_time,0.18074360086906957,601,E,REFER,0.45,13688.5,1113.3489512233164,True
APP-0027033,2025-01-02,Partner,Black Sea,Salaried,52,50734.26,41890.41,60,46604.06,3893.12,0.0905,207,0,1,0.23709,1,5,691,27701.15,100736.62,Owner,Debt consolidation,81,Verified,Male,40-49,0,out_of_time,0.08012928258793169,668,C,APPROVE_RECOMMENDATION,0.45,41890.41,1510.4918252764437,False
APP-0027601,2025-01-02,Mobile,Marmara,Salaried,18,31661.91,69273.63,60,130701.59,5339.85,0.20512,89,0,0,0.54673,2,2,691,1992.68,9787.09,Mortgage,Home improvement,65,Verified,Male,21-29,0,out_of_time,0.10001643172780043,650,D,REFER,0.45,69273.63,3117.8255784443586,True
APP-0027700,2025-01-02,Web,Aegean,Salaried,85,130878.36,133148.0,24,172098.64,14563.96,0.15367,461,0,1,0.32673,0,6,730,47486.77,12204.82,Owner,Home improvement,88,Unverified,Female,50-59,0,out_of_time,0.036115431490512634,728,B,APPROVE_RECOMMENDATION,0.45,133148.0,2163.9138624444495,False
APP-0032549,2025-01-02,Web,Aegean,Salaried,30,35399.21,17819.81,60,205995.67,5011.11,0.14995,89,1,2,0.40862,1,7,610,14661.13,35770.87,Mortgage,Home improvement,16,Unverified,Male,30-39,1,out_of_time,0.3132820508601,548,F,DECLINE_RECOMMENDATION,0.45,17819.81,2512.181980231794,True
APP-0032884,2025-01-02,Web,Central Anatolia,Public sector,82,28849.17,37302.75,48,136501.5,7538.32,0.28824,66,0,2,0.29119,0,2,705,95249.15,3668.6,Owner,Debt consolidation,74,Verified,Male,30-39,0,out_of_time,0.10031098923970823,650,D,REFER,0.45,37302.75,1683.8440892376868,True
APP-0033399,2025-01-02,Branch,Marmara,Self-employed,38,43740.22,18540.21,60,52836.9,13975.55,0.32658,116,0,1,0.1265,2,4,716,111724.1,12960.37,Rent,Debt consolidation,30,Verified,Female,30-39,0,out_of_time,0.09845676764478585,651,C,APPROVE_RECOMMENDATION,0.45,18540.21,821.4341166249907,False
APP-0034386,2025-01-02,Partner,Mediterranean,Self-employed,51,41977.24,45217.69,18,68371.88,19809.82,0.53176,210,1,2,0.57007,4,5,606,142958.22,8668.54,Family,Debt consolidation,21,Unverified,Female,40-49,1,out_of_time,0.6839030451495673,436,F,DECLINE_RECOMMENDATION,0.45,45217.69,13916.032148533113,True
APP-0035570,2025-01-02,Partner,Marmara,Salaried,119,34829.04,40565.62,48,254399.06,6155.71,0.20101,213,0,1,0.19594,1,5,720,75965.01,12848.59,Mortgage,Medical,67,Verified,Male,50-59,0,out_of_time,0.06031811579849154,690,C,APPROVE_RECOMMENDATION,0.45,40565.62,1101.0787940689222,False
APP-0035842,2025-01-02,Branch,Mediterranean,Salaried,88,27883.14,18496.37,36,124617.52,8860.87,0.33621,115,0,0,0.2183,0,6,707,23076.37,11210.33,Mortgage,Other,122,Verified,Male,30-39,0,out_of_time,0.06118275398573275,688,C,APPROVE_RECOMMENDATION,0.45,18496.37,509.2464849025895,False
APP-0041719,2025-01-02,Mobile,Black Sea,Public sector,93,52759.33,39180.92,24,75414.32,17269.87,0.35828,25,0,0,0.47489,0,5,637,8732.91,9995.22,Mortgage,Medical,53,Verified,Male,21-29,0,out_of_time,0.1702874078722226,606,E,REFER,0.45,39180.92,3002.407787182016,True
APP-0042280,2025-01-02,Web,Marmara,Salaried,107,53195.9,98353.87,48,63215.41,17792.25,0.37299,295,0,1,0.32148,0,6,699,109631.69,46599.65,Rent,Vehicle,2,Verified,Female,40-49,0,out_of_time,0.0637623073417264,685,C,APPROVE_RECOMMENDATION,0.45,98353.87,2822.071359234692,False
APP-0001714,2025-01-03,Mobile,Marmara,Salaried,91,21520.81,30406.21,36,32191.6,4689.39,0.25715,170,0,2,0.48173,1,6,644,47283.54,34693.69,Rent,Home improvement,25,Unverified,Female,30-39,0,out_of_time,0.18402298627660438,599,E,REFER,0.45,30406.21,2517.948704499098,True
APP-0004080,2025-01-03,Branch,Central Anatolia,Retired,66,19192.8,13415.59,60,34663.7,7486.07,0.4017,203,0,0,0.19271,3,6,680,150959.91,3832.28,Rent,Home improvement,38,Verified,Female,30-39,0,out_of_time,0.09296114332348902,656,C,APPROVE_RECOMMENDATION,0.45,13415.59,561.2078631416247,False
APP-0005737,2025-01-03,Web,Black Sea,Salaried,87,35040.23,10000.0,36,181265.38,9394.34,0.27603,119,0,0,0.74315,1,5,660,156242.46,17246.62,Owner,Vehicle,61,Verified,Male,30-39,0,out_of_time,0.15297018295936313,615,E,REFER,0.45,10000.0,688.3658233171342,True
APP-0006450,2025-01-03,Mobile,Central Anatolia,Contract,43,53038.68,102043.71,36,70922.89,7118.96,0.18767,150,0,0,0.61296,1,3,687,38389.44,19068.77,Rent,Medical,80,Verified,Female,40-49,0,out_of_time,0.15168957989311282,616,E,REFER,0.45,102043.71,6965.535375285586,True
APP-0007719,2025-01-03,Web,Aegean,Salaried,58,38878.32,10000.0,18,61774.81,11608.95,0.31289,121,0,0,0.44328,1,4,697,18261.54,66655.99,Mortgage,Other,13,Verified,Female,40-49,0,out_of_time,0.10310931543824355,648,D,REFER,0.45,10000.0,463.99191947209596,True
APP-0008122,2025-01-03,Branch,Marmara,Public sector,42,43496.92,41329.78,48,231811.31,20868.61,0.49957,230,0,0,0.59955,3,5,686,40314.86,56455.49,Mortgage,Education,38,Unverified,Female,40-49,1,out_of_time,0.18700722844573012,598,E,REFER,0.45,41329.78,3478.0354245322956,True
APP-0008914,2025-01-03,Web,Aegean,Salaried,38,99367.81,150935.44,24,52667.97,42115.95,0.48713,202,1,1,0.27607,1,7,671,78021.79,112810.56,Mortgage,Home improvement,34,Verified,Female,40-49,0,out_of_time,0.1811676717313061,600,E,REFER,0.45,150935.44,12305.080010943113,True
APP-0012405,2025-01-03,Mobile,Central Anatolia,Self-employed,63,26031.21,182501.55,48,42541.43,6567.83,0.39837,211,0,1,0.46448,1,3,661,32603.41,11088.01,Rent,Education,40,Verified,Female,40-49,1,out_of_time,0.12472696366165523,632,D,REFER,0.45,182501.55,10243.28888777059,True
APP-0013003,2025-01-03,Branch,Marmara,Salaried,62,28188.42,65239.43,18,143903.07,5167.44,0.3119,197,0,0,0.12588,0,3,724,37782.6,9073.32,Owner,Education,117,Verified,Male,30-39,0,out_of_time,0.03585387191145827,729,B,APPROVE_RECOMMENDATION,0.45,65239.43,1052.5887750584468,False
APP-0013010,2025-01-03,Web,Marmara,Salaried,145,41866.26,89599.29,36,250720.43,5484.63,0.19045,204,2,3,0.43982,2,4,610,197109.87,22700.24,Owner,Debt consolidation,2,Unverified,Female,40-49,1,out_of_time,0.49064015888290774,494,F,DECLINE_RECOMMENDATION,0.45,89599.29,19782.454446628075,True
APP-0015349,2025-01-03,Mobile,Black Sea,Salaried,51,50469.08,33263.24,36,216239.47,3791.44,0.09343,31,0,1,0.25481,4,6,676,68411.34,16959.74,Family,Debt consolidation,11,Verified,Female,21-29,0,out_of_time,0.14653638626894494,619,D,REFER,0.45,33263.24,2193.423743338479,True
APP-0019305,2025-01-03,Mobile,Black Sea,Salaried,60,42586.07,55500.7,36,161807.81,9241.16,0.2532,175,0,2,0.2433,1,7,683,85612.61,56615.65,Rent,Other,49,Unverified,Male,50-59,0,out_of_time,0.12245969661375354,634,D,REFER,0.45,55500.7,3058.4694977329277,True
APP-0020222,2025-01-03,Web,Mediterranean,Contract,35,29611.64,53117.68,60,93062.27,11311.52,0.41189,114,0,0,0.2679,1,5,694,18696.19,3733.26,Rent,Debt consolidation,58,Unverified,Male,30-39,0,out_of_time,0.19253474803889317,595,E,REFER,0.45,53117.68,4602.14961084475,True
APP-0021232,2025-01-03,Mobile,Mediterranean,Public sector,67,89048.15,153240.11,36,274535.19,14199.6,0.20726,258,1,1,0.18362,0,4,760,90858.39,25742.01,Rent,Other,56,Verified,Female,50-59,0,out_of_time,0.040502107369966525,720,B,APPROVE_RECOMMENDATION,0.45,153240.11,2792.9463248724664,False
APP-0022294,2025-01-03,Mobile,Aegean,Self-employed,51,37801.62,30378.52,36,13554.13,17905.49,0.49599,36,0,1,0.60658,1,6,585,125475.09,3806.54,Owner,Debt consolidation,57,Verified,Female,30-39,1,out_of_time,0.4891770120636878,495,F,DECLINE_RECOMMENDATION,0.45,30378.52,6687.213140032642,True
APP-0022315,2025-01-03,Branch,Aegean,Self-employed,277,41690.14,52694.6,60,201666.02,8529.64,0.22566,542,0,0,0.414,3,6,718,29850.94,27008.08,Owner,Medical,52,Verified,Male,60-74,0,out_of_time,0.03777412744729173,725,B,APPROVE_RECOMMENDATION,0.45,52694.6,895.7216412828263,False
